date,city,state,city_ibge_code,case_inc,death_inc
2020-10-27,Coruripe,AL,2702306,1,0
2020-10-28,Coruripe,AL,2702306,4,0
2020-10-29,Coruripe,AL,2702306,3,0
2020-10-30,Coruripe,AL,2702306,2,0
2020-10-31,Coruripe,AL,2702306,4,0
2020-11-01,Coruripe,AL,2702306,2,0
2020-11-02,Coruripe,AL,2702306,2,0
2020-11-03,Coruripe,AL,2702306,3,0
2020-11-04,Coruripe,AL,2702306,0,0
2020-11-05,Coruripe,AL,2702306,1,0
2020-11-06,Coruripe,AL,2702306,8,0
2020-11-07,Coruripe,AL,2702306,5,0
2020-11-08,Coruripe,AL,2702306,3,0
2020-11-09,Coruripe,AL,2702306,13,0
2020-11-10,Coruripe,AL,2702306,2,0
2020-11-11,Coruripe,AL,2702306,3,0
2020-11-12,Coruripe,AL,2702306,7,0
2020-11-13,Coruripe,AL,2702306,8,0
2020-11-14,Coruripe,AL,2702306,0,0
2020-11-15,Coruripe,AL,2702306,3,1
2020-11-16,Coruripe,AL,2702306,0,0
2020-11-17,Coruripe,AL,2702306,0,0
2020-11-18,Coruripe,AL,2702306,14,0
2020-09-10,Delmiro Gouveia,AL,2702405,10,0
2020-09-11,Delmiro Gouveia,AL,2702405,5,0
2020-09-12,Delmiro Gouveia,AL,2702405,15,0
2020-09-13,Delmiro Gouveia,AL,2702405,0,0
2020-09-14,Delmiro Gouveia,AL,2702405,0,0
2020-09-15,Delmiro Gouveia,AL,2702405,5,0
2020-09-16,Delmiro Gouveia,AL,2702405,12,1
2020-09-17,Delmiro Gouveia,AL,2702405,0,0
2020-09-18,Delmiro Gouveia,AL,2702405,2,1
2020-09-19,Delmiro Gouveia,AL,2702405,5,0
2020-09-20,Delmiro Gouveia,AL,2702405,0,0
2020-09-21,Delmiro Gouveia,AL,2702405,0,0
2020-09-22,Delmiro Gouveia,AL,2702405,4,0
2020-09-23,Delmiro Gouveia,AL,2702405,4,0
2020-09-24,Delmiro Gouveia,AL,2702405,3,0
2020-09-25,Delmiro Gouveia,AL,2702405,3,0
2020-09-26,Delmiro Gouveia,AL,2702405,1,0
2020-09-27,Delmiro Gouveia,AL,2702405,0,0
2020-09-28,Delmiro Gouveia,AL,2702405,1,0
2020-09-29,Delmiro Gouveia,AL,2702405,3,0
2020-09-30,Delmiro Gouveia,AL,2702405,2,0
2020-10-01,Delmiro Gouveia,AL,2702405,2,1
2020-10-02,Delmiro Gouveia,AL,2702405,1,0
2020-10-03,Delmiro Gouveia,AL,2702405,0,0
2020-10-04,Delmiro Gouveia,AL,2702405,3,0
2020-10-05,Delmiro Gouveia,AL,2702405,0,0
2020-10-06,Delmiro Gouveia,AL,2702405,1,0
2020-10-07,Delmiro Gouveia,AL,2702405,3,0
2020-10-08,Delmiro Gouveia,AL,2702405,2,0
2020-10-09,Delmiro Gouveia,AL,2702405,4,0
2020-10-10,Delmiro Gouveia,AL,2702405,5,0
2020-10-11,Delmiro Gouveia,AL,2702405,1,0
2020-10-12,Delmiro Gouveia,AL,2702405,0,0
2020-10-13,Delmiro Gouveia,AL,2702405,0,0
2020-10-14,Delmiro Gouveia,AL,2702405,9,0
2020-10-15,Delmiro Gouveia,AL,2702405,0,0
2020-10-16,Delmiro Gouveia,AL,2702405,1,1
2020-10-17,Delmiro Gouveia,AL,2702405,1,0
2020-10-18,Delmiro Gouveia,AL,2702405,0,0
2020-10-19,Delmiro Gouveia,AL,2702405,0,0
2020-10-20,Delmiro Gouveia,AL,2702405,0,0
2020-10-21,Delmiro Gouveia,AL,2702405,1,0
2020-10-22,Delmiro Gouveia,AL,2702405,1,0
2020-10-23,Delmiro Gouveia,AL,2702405,0,0
2020-10-24,Delmiro Gouveia,AL,2702405,3,0
2020-10-25,Delmiro Gouveia,AL,2702405,0,1
2020-10-26,Delmiro Gouveia,AL,2702405,0,0
2020-10-27,Delmiro Gouveia,AL,2702405,1,0
2020-10-28,Delmiro Gouveia,AL,2702405,0,0
2020-10-29,Delmiro Gouveia,AL,2702405,1,0
2020-10-30,Delmiro Gouveia,AL,2702405,3,0
2020-10-31,Delmiro Gouveia,AL,2702405,0,0
2020-11-01,Delmiro Gouveia,AL,2702405,0,0
2020-11-02,Delmiro Gouveia,AL,2702405,0,0
2020-11-03,Delmiro Gouveia,AL,2702405,0,0
2020-11-04,Delmiro Gouveia,AL,2702405,3,0
2020-11-05,Delmiro Gouveia,AL,2702405,6,1
2020-11-06,Delmiro Gouveia,AL,2702405,5,0
2020-11-07,Delmiro Gouveia,AL,2702405,3,0
2020-11-08,Delmiro Gouveia,AL,2702405,0,0
2020-11-09,Delmiro Gouveia,AL,2702405,1,0
2020-11-10,Delmiro Gouveia,AL,2702405,3,0
2020-11-11,Delmiro Gouveia,AL,2702405,2,0
2020-11-12,Delmiro Gouveia,AL,2702405,0,0
2020-11-13,Delmiro Gouveia,AL,2702405,2,0
2020-11-14,Delmiro Gouveia,AL,2702405,2,0
2020-11-15,Delmiro Gouveia,AL,2702405,1,0
2020-11-16,Delmiro Gouveia,AL,2702405,0,0
2020-11-17,Delmiro Gouveia,AL,2702405,0,0
2020-11-18,Delmiro Gouveia,AL,2702405,7,0
2020-09-10,Girau do Ponciano,AL,2702900,0,0
2020-09-11,Girau do Ponciano,AL,2702900,10,0
2020-09-12,Girau do Ponciano,AL,2702900,1,0
