date,city,state,city_ibge_code,case_inc,death_inc
2020-10-22,Palmeira dos Índios,AL,2706307,0,0
2020-10-23,Palmeira dos Índios,AL,2706307,2,0
2020-10-24,Palmeira dos Índios,AL,2706307,9,1
2020-10-25,Palmeira dos Índios,AL,2706307,0,0
2020-10-26,Palmeira dos Índios,AL,2706307,2,0
2020-10-27,Palmeira dos Índios,AL,2706307,2,0
2020-10-28,Palmeira dos Índios,AL,2706307,3,0
2020-10-29,Palmeira dos Índios,AL,2706307,0,0
2020-10-30,Palmeira dos Índios,AL,2706307,7,0
2020-10-31,Palmeira dos Índios,AL,2706307,3,0
2020-11-01,Palmeira dos Índios,AL,2706307,6,0
2020-11-02,Palmeira dos Índios,AL,2706307,3,0
2020-11-03,Palmeira dos Índios,AL,2706307,2,0
2020-11-04,Palmeira dos Índios,AL,2706307,6,0
2020-11-05,Palmeira dos Índios,AL,2706307,5,0
2020-11-06,Palmeira dos Índios,AL,2706307,1,0
2020-11-07,Palmeira dos Índios,AL,2706307,1,0
2020-11-08,Palmeira dos Índios,AL,2706307,1,0
2020-11-09,Palmeira dos Índios,AL,2706307,0,0
2020-11-10,Palmeira dos Índios,AL,2706307,2,0
2020-11-11,Palmeira dos Índios,AL,2706307,4,1
2020-11-12,Palmeira dos Índios,AL,2706307,9,0
2020-11-13,Palmeira dos Índios,AL,2706307,10,1
2020-11-14,Palmeira dos Índios,AL,2706307,3,0
2020-11-15,Palmeira dos Índios,AL,2706307,0,0
2020-11-16,Palmeira dos Índios,AL,2706307,0,0
2020-11-17,Palmeira dos Índios,AL,2706307,0,0
2020-11-18,Palmeira dos Índios,AL,2706307,12,2
2020-09-10,Penedo,AL,2706703,18,0
2020-09-11,Penedo,AL,2706703,11,0
2020-09-12,Penedo,AL,2706703,4,0
2020-09-13,Penedo,AL,2706703,0,0
2020-09-14,Penedo,AL,2706703,0,0
2020-09-15,Penedo,AL,2706703,2,0
2020-09-16,Penedo,AL,2706703,20,0
2020-09-17,Penedo,AL,2706703,0,0
2020-09-18,Penedo,AL,2706703,15,0
2020-09-19,Penedo,AL,2706703,0,0
2020-09-20,Penedo,AL,2706703,0,0
2020-09-21,Penedo,AL,2706703,0,0
2020-09-22,Penedo,AL,2706703,8,0
2020-09-23,Penedo,AL,2706703,64,0
2020-09-24,Penedo,AL,2706703,3,1
2020-09-25,Penedo,AL,2706703,1,0
2020-09-26,Penedo,AL,2706703,3,0
2020-09-27,Penedo,AL,2706703,23,0
2020-09-28,Penedo,AL,2706703,0,0
2020-09-29,Penedo,AL,2706703,2,1
2020-09-30,Penedo,AL,2706703,4,0
2020-10-01,Penedo,AL,2706703,3,0
2020-10-02,Penedo,AL,2706703,6,0
2020-10-03,Penedo,AL,2706703,10,0
2020-10-04,Penedo,AL,2706703,11,0
2020-10-05,Penedo,AL,2706703,3,0
2020-10-06,Penedo,AL,2706703,6,0
2020-10-07,Penedo,AL,2706703,10,0
2020-10-08,Penedo,AL,2706703,0,1
2020-10-09,Penedo,AL,2706703,1,0
2020-10-10,Penedo,AL,2706703,1,0
2020-10-11,Penedo,AL,2706703,1,0
2020-10-12,Penedo,AL,2706703,7,0
2020-10-13,Penedo,AL,2706703,4,0
2020-10-14,Penedo,AL,2706703,5,0
2020-10-15,Penedo,AL,2706703,1,1
2020-10-16,Penedo,AL,2706703,6,0
2020-10-17,Penedo,AL,2706703,0,0
2020-10-18,Penedo,AL,2706703,15,0
2020-10-19,Penedo,AL,2706703,0,0
2020-10-20,Penedo,AL,2706703,4,0
2020-10-21,Penedo,AL,2706703,1,0
2020-10-22,Penedo,AL,2706703,4,0
2020-10-23,Penedo,AL,2706703,5,0
2020-10-24,Penedo,AL,2706703,1,0
2020-10-25,Penedo,AL,2706703,0,0
2020-10-26,Penedo,AL,2706703,10,0
2020-10-27,Penedo,AL,2706703,0,1
2020-10-28,Penedo,AL,2706703,1,0
2020-10-29,Penedo,AL,2706703,2,0
2020-10-30,Penedo,AL,2706703,1,0
2020-10-31,Penedo,AL,2706703,0,0
2020-11-01,Penedo,AL,2706703,0,0
2020-11-02,Penedo,AL,2706703,2,0
2020-11-03,Penedo,AL,2706703,5,0
2020-11-04,Penedo,AL,2706703,10,1
2020-11-05,Penedo,AL,2706703,4,1
2020-11-06,Penedo,AL,2706703,0,0
2020-11-07,Penedo,AL,2706703,1,0
2020-11-08,Penedo,AL,2706703,1,0
2020-11-09,Penedo,AL,2706703,13,1
2020-11-10,Penedo,AL,2706703,1,0
2020-11-11,Penedo,AL,2706703,3,0
2020-11-12,Penedo,AL,2706703,1,0
2020-11-13,Penedo,AL,2706703,2,0
2020-11-14,Penedo,AL,2706703,0,0
2020-11-15,Penedo,AL,2706703,0,0
2020-11-16,Penedo,AL,2706703,0,0
2020-11-17,Penedo,AL,2706703,0,0
2020-11-18,Penedo,AL,2706703,6,0
2020-09-10,Santana do Ipanema,AL,2708006,2,1
2020-09-11,Santana do Ipanema,AL,2708006,2,1
2020-09-12,Santana do Ipanema,AL,2708006,1,0
2020-09-13,Santana do Ipanema,AL,2708006,35,1
2020-09-14,Santana do Ipanema,AL,2708006,7,1
2020-09-15,Santana do Ipanema,AL,2708006,4,1
2020-09-16,Santana do Ipanema,AL,2708006,10,0
2020-09-17,Santana do Ipanema,AL,2708006,3,1
2020-09-18,Santana do Ipanema,AL,2708006,1,1
2020-09-19,Santana do Ipanema,AL,2708006,46,0
2020-09-20,Santana do Ipanema,AL,2708006,2,0
2020-09-21,Santana do Ipanema,AL,2708006,7,0
2020-09-22,Santana do Ipanema,AL,2708006,9,0
2020-09-23,Santana do Ipanema,AL,2708006,3,0
2020-09-24,Santana do Ipanema,AL,2708006,11,0
2020-09-25,Santana do Ipanema,AL,2708006,3,0
2020-09-26,Santana do Ipanema,AL,2708006,2,0
2020-09-27,Santana do Ipanema,AL,2708006,1,0
2020-09-28,Santana do Ipanema,AL,2708006,2,0
2020-09-29,Santana do Ipanema,AL,2708006,4,0
2020-09-30,Santana do Ipanema,AL,2708006,2,0
2020-10-01,Santana do Ipanema,AL,2708006,6,0
2020-10-02,Santana do Ipanema,AL,2708006,1,0
2020-10-03,Santana do Ipanema,AL,2708006,2,0
2020-10-04,Santana do Ipanema,AL,2708006,5,0
2020-10-05,Santana do Ipanema,AL,2708006,0,0
2020-10-06,Santana do Ipanema,AL,2708006,2,0
