region,date,confirm
Delmiro Gouveia,2020-10-09,4
Delmiro Gouveia,2020-10-10,5
Delmiro Gouveia,2020-10-11,1
Delmiro Gouveia,2020-10-12,0
Delmiro Gouveia,2020-10-13,0
Delmiro Gouveia,2020-10-14,9
Delmiro Gouveia,2020-10-15,0
Delmiro Gouveia,2020-10-16,1
Delmiro Gouveia,2020-10-17,1
Delmiro Gouveia,2020-10-18,0
Delmiro Gouveia,2020-10-19,0
Delmiro Gouveia,2020-10-20,0
Delmiro Gouveia,2020-10-21,1
Delmiro Gouveia,2020-10-22,1
Delmiro Gouveia,2020-10-23,0
Delmiro Gouveia,2020-10-24,3
Delmiro Gouveia,2020-10-25,0
Delmiro Gouveia,2020-10-26,0
Delmiro Gouveia,2020-10-27,1
Delmiro Gouveia,2020-10-28,0
Delmiro Gouveia,2020-10-29,1
Delmiro Gouveia,2020-10-30,3
Delmiro Gouveia,2020-10-31,0
Delmiro Gouveia,2020-11-01,0
Delmiro Gouveia,2020-11-02,0
Delmiro Gouveia,2020-11-03,0
Delmiro Gouveia,2020-11-04,3
Delmiro Gouveia,2020-11-05,6
Delmiro Gouveia,2020-11-06,5
Delmiro Gouveia,2020-11-07,3
Delmiro Gouveia,2020-11-08,0
Delmiro Gouveia,2020-11-09,1
Delmiro Gouveia,2020-11-10,3
Delmiro Gouveia,2020-11-11,2
Delmiro Gouveia,2020-11-12,0
Delmiro Gouveia,2020-11-13,2
Delmiro Gouveia,2020-11-14,2
Delmiro Gouveia,2020-11-15,1
Delmiro Gouveia,2020-11-16,0
Delmiro Gouveia,2020-11-17,0
Delmiro Gouveia,2020-11-18,7
Girau do Ponciano,2020-09-10,0
Girau do Ponciano,2020-09-11,10
Girau do Ponciano,2020-09-12,1
Girau do Ponciano,2020-09-13,0
Girau do Ponciano,2020-09-14,0
Girau do Ponciano,2020-09-15,6
Girau do Ponciano,2020-09-16,9
Girau do Ponciano,2020-09-17,0
Girau do Ponciano,2020-09-18,0
Girau do Ponciano,2020-09-19,1
Girau do Ponciano,2020-09-20,0
Girau do Ponciano,2020-09-21,1
Girau do Ponciano,2020-09-22,2
Girau do Ponciano,2020-09-23,9
Girau do Ponciano,2020-09-24,1
Girau do Ponciano,2020-09-25,1
Girau do Ponciano,2020-09-26,0
Girau do Ponciano,2020-09-27,1
Girau do Ponciano,2020-09-28,2
Girau do Ponciano,2020-09-29,5
Girau do Ponciano,2020-09-30,0
Girau do Ponciano,2020-10-01,2
Girau do Ponciano,2020-10-02,0
Girau do Ponciano,2020-10-03,0
Girau do Ponciano,2020-10-04,4
Girau do Ponciano,2020-10-05,0
Girau do Ponciano,2020-10-06,9
Girau do Ponciano,2020-10-07,1
Girau do Ponciano,2020-10-08,0
Girau do Ponciano,2020-10-09,0
Girau do Ponciano,2020-10-10,8
Girau do Ponciano,2020-10-11,0
Girau do Ponciano,2020-10-12,1
Girau do Ponciano,2020-10-13,2
Girau do Ponciano,2020-10-14,0
Girau do Ponciano,2020-10-15,0
Girau do Ponciano,2020-10-16,2
Girau do Ponciano,2020-10-17,0
Girau do Ponciano,2020-10-18,3
Girau do Ponciano,2020-10-19,1
Girau do Ponciano,2020-10-20,4
Girau do Ponciano,2020-10-21,0
Girau do Ponciano,2020-10-22,3
Girau do Ponciano,2020-10-23,1
Girau do Ponciano,2020-10-24,0
Girau do Ponciano,2020-10-25,0
Girau do Ponciano,2020-10-26,0
Girau do Ponciano,2020-10-27,2
Girau do Ponciano,2020-10-28,0
Girau do Ponciano,2020-10-29,1
Girau do Ponciano,2020-10-30,1
Girau do Ponciano,2020-10-31,0
Girau do Ponciano,2020-11-01,0
Girau do Ponciano,2020-11-02,0
Girau do Ponciano,2020-11-03,0
Girau do Ponciano,2020-11-04,0
Girau do Ponciano,2020-11-05,1
Girau do Ponciano,2020-11-06,1
Girau do Ponciano,2020-11-07,4
Girau do Ponciano,2020-11-08,0
Girau do Ponciano,2020-11-09,0
Girau do Ponciano,2020-11-10,1
Girau do Ponciano,2020-11-11,4
Girau do Ponciano,2020-11-12,2
Girau do Ponciano,2020-11-13,0
Girau do Ponciano,2020-11-14,0
Girau do Ponciano,2020-11-15,1
Girau do Ponciano,2020-11-16,0
Girau do Ponciano,2020-11-17,0
Girau do Ponciano,2020-11-18,1
Joaquim Gomes,2020-09-10,0
Joaquim Gomes,2020-09-11,2
Joaquim Gomes,2020-09-12,1
Joaquim Gomes,2020-09-13,1
Joaquim Gomes,2020-09-14,0
Joaquim Gomes,2020-09-15,6
Joaquim Gomes,2020-09-16,2
Joaquim Gomes,2020-09-17,0
Joaquim Gomes,2020-09-18,10
Joaquim Gomes,2020-09-19,11
Joaquim Gomes,2020-09-20,0
Joaquim Gomes,2020-09-21,0
Joaquim Gomes,2020-09-22,10
Joaquim Gomes,2020-09-23,11
Joaquim Gomes,2020-09-24,0
Joaquim Gomes,2020-09-25,1
Joaquim Gomes,2020-09-26,0
Joaquim Gomes,2020-09-27,0
Joaquim Gomes,2020-09-28,6
Joaquim Gomes,2020-09-29,4
Joaquim Gomes,2020-09-30,0
Joaquim Gomes,2020-10-01,0
Joaquim Gomes,2020-10-02,6
Joaquim Gomes,2020-10-03,3
Joaquim Gomes,2020-10-04,2
Joaquim Gomes,2020-10-05,0
Joaquim Gomes,2020-10-06,9
Joaquim Gomes,2020-10-07,8
Joaquim Gomes,2020-10-08,0
Joaquim Gomes,2020-10-09,1
Joaquim Gomes,2020-10-10,0
Joaquim Gomes,2020-10-11,0
Joaquim Gomes,2020-10-12,0
Joaquim Gomes,2020-10-13,0
Joaquim Gomes,2020-10-14,3
Joaquim Gomes,2020-10-15,1
Joaquim Gomes,2020-10-16,2
Joaquim Gomes,2020-10-17,0
Joaquim Gomes,2020-10-18,0
Joaquim Gomes,2020-10-19,0
Joaquim Gomes,2020-10-20,4
Joaquim Gomes,2020-10-21,1
Joaquim Gomes,2020-10-22,2
Joaquim Gomes,2020-10-23,0
Joaquim Gomes,2020-10-24,0
Joaquim Gomes,2020-10-25,0
Joaquim Gomes,2020-10-26,0
Joaquim Gomes,2020-10-27,10
Joaquim Gomes,2020-10-28,2
Joaquim Gomes,2020-10-29,0
Joaquim Gomes,2020-10-30,6
Joaquim Gomes,2020-10-31,0
Joaquim Gomes,2020-11-01,0
Joaquim Gomes,2020-11-02,0
Joaquim Gomes,2020-11-03,0
Joaquim Gomes,2020-11-04,2
Joaquim Gomes,2020-11-05,3
Joaquim Gomes,2020-11-06,3
Joaquim Gomes,2020-11-07,2
Joaquim Gomes,2020-11-08,0
Joaquim Gomes,2020-11-09,3
Joaquim Gomes,2020-11-10,0
Joaquim Gomes,2020-11-11,6
Joaquim Gomes,2020-11-12,0
Joaquim Gomes,2020-11-13,2
Joaquim Gomes,2020-11-14,0
Joaquim Gomes,2020-11-15,0
Joaquim Gomes,2020-11-16,0
Joaquim Gomes,2020-11-17,0
Joaquim Gomes,2020-11-18,5
Lagoa da Canoa,2020-09-10,1
Lagoa da Canoa,2020-09-11,1
Lagoa da Canoa,2020-09-12,5
Lagoa da Canoa,2020-09-13,0
Lagoa da Canoa,2020-09-14,0
Lagoa da Canoa,2020-09-15,2
Lagoa da Canoa,2020-09-16,9
Lagoa da Canoa,2020-09-17,1
Lagoa da Canoa,2020-09-18,1
Lagoa da Canoa,2020-09-19,3
Lagoa da Canoa,2020-09-20,0
Lagoa da Canoa,2020-09-21,36
Lagoa da Canoa,2020-09-22,37
Lagoa da Canoa,2020-09-23,25
Lagoa da Canoa,2020-09-24,0
Lagoa da Canoa,2020-09-25,1
Lagoa da Canoa,2020-09-26,5
Lagoa da Canoa,2020-09-27,9
Lagoa da Canoa,2020-09-28,3
Lagoa da Canoa,2020-09-29,2
Lagoa da Canoa,2020-09-30,0
Lagoa da Canoa,2020-10-01,0
Lagoa da Canoa,2020-10-02,0
Lagoa da Canoa,2020-10-03,4
Lagoa da Canoa,2020-10-04,17
Lagoa da Canoa,2020-10-05,0
Lagoa da Canoa,2020-10-06,0
Lagoa da Canoa,2020-10-07,1
Lagoa da Canoa,2020-10-08,1
Lagoa da Canoa,2020-10-09,0
Lagoa da Canoa,2020-10-10,1
Lagoa da Canoa,2020-10-11,0
Lagoa da Canoa,2020-10-12,0
Lagoa da Canoa,2020-10-13,2
Lagoa da Canoa,2020-10-14,0
Lagoa da Canoa,2020-10-15,0
Lagoa da Canoa,2020-10-16,2
Lagoa da Canoa,2020-10-17,0
Lagoa da Canoa,2020-10-18,3
Lagoa da Canoa,2020-10-19,0
Lagoa da Canoa,2020-10-20,1
Lagoa da Canoa,2020-10-21,1
Lagoa da Canoa,2020-10-22,1
Lagoa da Canoa,2020-10-23,0
Lagoa da Canoa,2020-10-24,0
Lagoa da Canoa,2020-10-25,0
Lagoa da Canoa,2020-10-26,0
Lagoa da Canoa,2020-10-27,0
Lagoa da Canoa,2020-10-28,1
Lagoa da Canoa,2020-10-29,0
Lagoa da Canoa,2020-10-30,0
Lagoa da Canoa,2020-10-31,0
Lagoa da Canoa,2020-11-01,0
Lagoa da Canoa,2020-11-02,0
Lagoa da Canoa,2020-11-03,0
Lagoa da Canoa,2020-11-04,2
Lagoa da Canoa,2020-11-05,1
Lagoa da Canoa,2020-11-06,0
Lagoa da Canoa,2020-11-07,0
Lagoa da Canoa,2020-11-08,1
Lagoa da Canoa,2020-11-09,0
Lagoa da Canoa,2020-11-10,0
Lagoa da Canoa,2020-11-11,1
Lagoa da Canoa,2020-11-12,2
Lagoa da Canoa,2020-11-13,0
Lagoa da Canoa,2020-11-14,0
Lagoa da Canoa,2020-11-15,0
Lagoa da Canoa,2020-11-16,0
Lagoa da Canoa,2020-11-17,0
Lagoa da Canoa,2020-11-18,11
Maceió,2020-09-10,45
Maceió,2020-09-11,50
Maceió,2020-09-12,377
Maceió,2020-09-13,29
Maceió,2020-09-14,30
Maceió,2020-09-15,50
Maceió,2020-09-16,47
Maceió,2020-09-17,16
Maceió,2020-09-18,55
Maceió,2020-09-19,344
Maceió,2020-09-20,458
Maceió,2020-09-21,68
Maceió,2020-09-22,29
Maceió,2020-09-23,83
Maceió,2020-09-24,19
Maceió,2020-09-25,29
Maceió,2020-09-26,27
Maceió,2020-09-27,26
Maceió,2020-09-28,20
Maceió,2020-09-29,19
Maceió,2020-09-30,171
Maceió,2020-10-01,526
Maceió,2020-10-02,132
Maceió,2020-10-03,25
Maceió,2020-10-04,17
Maceió,2020-10-05,5
Maceió,2020-10-06,18
Maceió,2020-10-07,26
Maceió,2020-10-08,21
Maceió,2020-10-09,41
Maceió,2020-10-10,16
Maceió,2020-10-11,6
Maceió,2020-10-12,8
Maceió,2020-10-13,27
Maceió,2020-10-14,18
Maceió,2020-10-15,29
Maceió,2020-10-16,2
Maceió,2020-10-17,18
Maceió,2020-10-18,41
Maceió,2020-10-19,11
Maceió,2020-10-20,9
Maceió,2020-10-21,23
Maceió,2020-10-22,21
Maceió,2020-10-23,22
Maceió,2020-10-24,20
Maceió,2020-10-25,15
Maceió,2020-10-26,14
Maceió,2020-10-27,19
Maceió,2020-10-28,23
Maceió,2020-10-29,11
Maceió,2020-10-30,27
Maceió,2020-10-31,36
Maceió,2020-11-01,2
Maceió,2020-11-02,31
Maceió,2020-11-03,27
Maceió,2020-11-04,22
Maceió,2020-11-05,22
Maceió,2020-11-06,29
Maceió,2020-11-07,84
Maceió,2020-11-08,88
Maceió,2020-11-09,40
Maceió,2020-11-10,19
Maceió,2020-11-11,20
Maceió,2020-11-12,36
Maceió,2020-11-13,46
Maceió,2020-11-14,29
Maceió,2020-11-15,52
Maceió,2020-11-16,0
Maceió,2020-11-17,0
Maceió,2020-11-18,102
Marechal Deodoro,2020-09-10,2
Marechal Deodoro,2020-09-11,5
Marechal Deodoro,2020-09-12,3
Marechal Deodoro,2020-09-13,13
Marechal Deodoro,2020-09-14,0
Marechal Deodoro,2020-09-15,8
Marechal Deodoro,2020-09-16,0
Marechal Deodoro,2020-09-17,0
Marechal Deodoro,2020-09-18,1
Marechal Deodoro,2020-09-19,26
Marechal Deodoro,2020-09-20,1
Marechal Deodoro,2020-09-21,6
Marechal Deodoro,2020-09-22,6
Marechal Deodoro,2020-09-23,13
Marechal Deodoro,2020-09-24,4
Marechal Deodoro,2020-09-25,9
Marechal Deodoro,2020-09-26,12
Marechal Deodoro,2020-09-27,1
Marechal Deodoro,2020-09-28,1
Marechal Deodoro,2020-09-29,15
Marechal Deodoro,2020-09-30,8
Marechal Deodoro,2020-10-01,11
Marechal Deodoro,2020-10-02,8
Marechal Deodoro,2020-10-03,7
Marechal Deodoro,2020-10-04,0
Marechal Deodoro,2020-10-05,0
Marechal Deodoro,2020-10-06,5
Marechal Deodoro,2020-10-07,3
Marechal Deodoro,2020-10-08,8
Marechal Deodoro,2020-10-09,0
Marechal Deodoro,2020-10-10,1
Marechal Deodoro,2020-10-11,0
Marechal Deodoro,2020-10-12,1
Marechal Deodoro,2020-10-13,2
Marechal Deodoro,2020-10-14,2
Marechal Deodoro,2020-10-15,0
Marechal Deodoro,2020-10-16,11
Marechal Deodoro,2020-10-17,5
Marechal Deodoro,2020-10-18,0
Marechal Deodoro,2020-10-19,1
Marechal Deodoro,2020-10-20,0
Marechal Deodoro,2020-10-21,6
Marechal Deodoro,2020-10-22,7
Marechal Deodoro,2020-10-23,2
Marechal Deodoro,2020-10-24,5
Marechal Deodoro,2020-10-25,0
Marechal Deodoro,2020-10-26,0
Marechal Deodoro,2020-10-27,2
Marechal Deodoro,2020-10-28,7
Marechal Deodoro,2020-10-29,8
Marechal Deodoro,2020-10-30,12
Marechal Deodoro,2020-10-31,0
Marechal Deodoro,2020-11-01,0
Marechal Deodoro,2020-11-02,1
Marechal Deodoro,2020-11-03,1
Marechal Deodoro,2020-11-04,9
Marechal Deodoro,2020-11-05,2
Marechal Deodoro,2020-11-06,8
Marechal Deodoro,2020-11-07,4
Marechal Deodoro,2020-11-08,0
Marechal Deodoro,2020-11-09,0
Marechal Deodoro,2020-11-10,3
Marechal Deodoro,2020-11-11,4
Marechal Deodoro,2020-11-12,9
Marechal Deodoro,2020-11-13,12
Marechal Deodoro,2020-11-14,28
Marechal Deodoro,2020-11-15,1
Marechal Deodoro,2020-11-16,0
Marechal Deodoro,2020-11-17,0
Marechal Deodoro,2020-11-18,7
Matriz de Camaragibe,2020-09-10,5
Matriz de Camaragibe,2020-09-11,4
Matriz de Camaragibe,2020-09-12,1
Matriz de Camaragibe,2020-09-13,0
Matriz de Camaragibe,2020-09-14,0
Matriz de Camaragibe,2020-09-15,2
Matriz de Camaragibe,2020-09-16,2
Matriz de Camaragibe,2020-09-17,0
Matriz de Camaragibe,2020-09-18,2
Matriz de Camaragibe,2020-09-19,0
Matriz de Camaragibe,2020-09-20,0
Matriz de Camaragibe,2020-09-21,0
Matriz de Camaragibe,2020-09-22,4
Matriz de Camaragibe,2020-09-23,6
Matriz de Camaragibe,2020-09-24,0
Matriz de Camaragibe,2020-09-25,1
Matriz de Camaragibe,2020-09-26,7
Matriz de Camaragibe,2020-09-27,0
Matriz de Camaragibe,2020-09-28,0
Matriz de Camaragibe,2020-09-29,0
Matriz de Camaragibe,2020-09-30,1
Matriz de Camaragibe,2020-10-01,20
Matriz de Camaragibe,2020-10-02,3
Matriz de Camaragibe,2020-10-03,2
Matriz de Camaragibe,2020-10-04,0
Matriz de Camaragibe,2020-10-05,0
Matriz de Camaragibe,2020-10-06,0
Matriz de Camaragibe,2020-10-07,5
Matriz de Camaragibe,2020-10-08,3
Matriz de Camaragibe,2020-10-09,0
Matriz de Camaragibe,2020-10-10,2
Matriz de Camaragibe,2020-10-11,0
Matriz de Camaragibe,2020-10-12,0
Matriz de Camaragibe,2020-10-13,0
Matriz de Camaragibe,2020-10-14,0
Matriz de Camaragibe,2020-10-15,4
Matriz de Camaragibe,2020-10-16,1
Matriz de Camaragibe,2020-10-17,6
Matriz de Camaragibe,2020-10-18,1
