region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Penedo,2020-11-20,,forecast,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-21,,forecast,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-22,,forecast,-0.029,-0.031,0.094,-0.177,-0.074,-0.042,-0.016,0.002,0.109
Penedo,2020-11-08,,estimate based on partial data,-0.028,-0.032,0.07,-0.143,-0.064,-0.04,-0.017,-0.002,0.07
Penedo,2020-11-09,,estimate based on partial data,-0.028,-0.032,0.073,-0.149,-0.065,-0.04,-0.017,-0.002,0.076
Penedo,2020-11-12,,estimate based on partial data,-0.028,-0.032,0.083,-0.165,-0.07,-0.042,-0.016,0,0.093
Penedo,2020-11-13,,estimate based on partial data,-0.028,-0.032,0.087,-0.169,-0.07,-0.042,-0.016,0,0.095
Penedo,2020-11-06,,estimate based on partial data,-0.028,-0.031,0.062,-0.129,-0.06,-0.038,-0.017,-0.003,0.063
Penedo,2020-11-07,,estimate based on partial data,-0.028,-0.031,0.066,-0.136,-0.061,-0.039,-0.017,-0.003,0.066
Santana do Ipanema,2020-10-11,,estimate,-0.028,-0.029,0.029,-0.078,-0.047,-0.035,-0.022,-0.012,0.016
Penedo,2020-11-10,,estimate based on partial data,-0.027,-0.032,0.077,-0.155,-0.067,-0.041,-0.017,-0.002,0.08
Penedo,2020-11-11,,estimate based on partial data,-0.027,-0.032,0.08,-0.16,-0.068,-0.041,-0.017,-0.001,0.085
Penedo,2020-11-05,,estimate,-0.027,-0.031,0.059,-0.123,-0.059,-0.037,-0.017,-0.004,0.059
Penedo,2020-11-04,,estimate,-0.027,-0.03,0.055,-0.118,-0.056,-0.037,-0.017,-0.004,0.05
Penedo,2020-11-02,,estimate,-0.026,-0.029,0.048,-0.109,-0.053,-0.035,-0.017,-0.005,0.043
Penedo,2020-11-03,,estimate,-0.026,-0.029,0.051,-0.112,-0.055,-0.036,-0.017,-0.005,0.047
Penedo,2020-11-01,,estimate,-0.026,-0.028,0.044,-0.103,-0.051,-0.034,-0.017,-0.005,0.039
Marechal Deodoro,2020-09-22,,estimate,-0.025,-0.032,0.04,-0.107,-0.056,-0.036,-0.015,-0.002,0.018
Penedo,2020-10-30,,estimate,-0.025,-0.027,0.038,-0.091,-0.047,-0.032,-0.018,-0.006,0.036
Penedo,2020-10-31,,estimate,-0.025,-0.027,0.041,-0.098,-0.048,-0.033,-0.017,-0.006,0.037
